Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Team,Playing Time
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,MP
Danilo,br BRA,MF,23-186,1.0,1,14.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Nottingham-Forest,
Jota Silva,pt POR,"MF,FW",25-092,8.0,0,159.0,1.8,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.7,0.9,8.0,5.0,8.0,0.0,0.57,0.57,0.0,0.57,0.14,0.39,0.53,0.14,0.53,Matches,Nottingham-Forest,
Ramón Sosa,py PAR,"MF,FW",25-062,5.0,0,81.0,0.9,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6,0.6,0.3,0.9,5.0,2.0,5.0,1.11,0.0,1.11,1.11,1.11,0.67,0.33,1.0,0.67,1.0,Matches,Nottingham-Forest,
Morato,br BRA,DF,23-124,5.0,0,70.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Nottingham-Forest,
Harry Toffolo,eng ENG,DF,29-074,1.0,0,37.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches,Nottingham-Forest,
Carlos Miguel,br BRA,GK,26-023,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Nottingham-Forest,
Andrew Omobamidele,ie IRL,DF,22-131,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Nottingham-Forest,
Eric da Silva Moreira,de GER,DF,18-182,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Nottingham-Forest,
Squad Total,,,26.9,9.0,99,810.0,9.0,11.0,5.0,16.0,10.0,1.0,1.0,28.0,2.0,11.4,10.6,7.8,18.4,168.0,253.0,249.0,1.22,0.56,1.78,1.11,1.67,1.27,0.86,2.13,1.18,2.05,,Nottingham-Forest,
Opponent Total,,,26.6,9.0,99,810.0,9.0,7.0,4.0,11.0,6.0,1.0,1.0,35.0,0.0,9.4,8.6,6.6,15.2,241.0,470.0,468.0,0.78,0.44,1.22,0.67,1.11,1.04,0.74,1.78,0.96,1.69,,Nottingham-Forest,
Cristian Romero,ar ARG,DF,26-188,9.0,9,810.0,9.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.4,1.4,7.0,37.0,2.0,0.11,0.0,0.11,0.11,0.11,0.11,0.04,0.16,0.11,0.16,Matches,Tottenham-Hotspur,
Guglielmo Vicario,it ITA,GK,28-025,9.0,9,810.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Tottenham-Hotspur,
Pedro Porro,es ESP,DF,25-049,9.0,9,806.0,9.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.7,0.7,1.1,1.8,24.0,57.0,32.0,0.11,0.0,0.11,0.11,0.11,0.07,0.12,0.2,0.07,0.2,Matches,Tottenham-Hotspur,
Destiny Udogie,it ITA,DF,21-339,9.0,9,744.0,8.3,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,1.0,1.3,22.0,50.0,49.0,0.0,0.12,0.12,0.0,0.12,0.04,0.12,0.16,0.04,0.16,Matches,Tottenham-Hotspur,
James Maddison,eng ENG,MF,27-344,9.0,9,669.0,7.4,2.0,3.0,5.0,2.0,0.0,0.0,2.0,0.0,2.3,2.3,1.9,4.1,16.0,67.0,44.0,0.27,0.4,0.67,0.27,0.67,0.31,0.25,0.56,0.31,0.56,Matches,Tottenham-Hotspur,
Micky van de Ven,nl NED,DF,23-196,8.0,8,710.0,7.9,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.2,0.2,1.2,1.4,8.0,42.0,1.0,0.0,0.25,0.25,0.0,0.25,0.03,0.15,0.18,0.03,0.18,Matches,Tottenham-Hotspur,
Brennan Johnson,wls WAL,FW,23-162,9.0,8,693.0,7.7,3.0,0.0,3.0,3.0,0.0,0.0,2.0,0.0,4.0,4.0,0.7,4.7,29.0,26.0,85.0,0.39,0.0,0.39,0.39,0.39,0.52,0.08,0.61,0.52,0.61,Matches,Tottenham-Hotspur,
Dejan Kulusevski,se SWE,"MF,FW",24-190,9.0,8,679.0,7.5,2.0,1.0,3.0,2.0,0.0,0.0,3.0,0.0,1.4,1.4,2.0,3.3,37.0,44.0,66.0,0.27,0.13,0.4,0.27,0.4,0.18,0.26,0.44,0.18,0.44,Matches,Tottenham-Hotspur,
Dominic Solanke,eng ENG,FW,27-048,7.0,7,617.0,6.9,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,3.6,3.6,0.8,4.3,14.0,19.0,30.0,0.29,0.15,0.44,0.29,0.44,0.52,0.11,0.63,0.52,0.63,Matches,Tottenham-Hotspur,
Son Heung-min,kr KOR,FW,32-116,6.0,6,519.0,5.8,3.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,1.8,1.8,1.8,3.6,23.0,37.0,78.0,0.52,0.35,0.87,0.52,0.87,0.31,0.31,0.62,0.31,0.62,Matches,Tottenham-Hotspur,
Rodrigo Bentancur,uy URU,MF,27-129,8.0,5,397.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.4,0.4,0.1,0.5,4.0,29.0,2.0,0.0,0.0,0.0,0.0,0.0,0.08,0.02,0.1,0.08,0.1,Matches,Tottenham-Hotspur,
Yves Bissouma,ml MLI,MF,28-063,6.0,4,359.0,4.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.3,0.3,0.2,0.5,5.0,28.0,0.0,0.5,0.0,0.5,0.5,0.5,0.06,0.05,0.11,0.06,0.11,Matches,Tottenham-Hotspur,
Pape Matar Sarr,sn SEN,MF,22-048,9.0,2,290.0,3.2,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.6,0.6,1.1,1.7,5.0,21.0,13.0,0.0,0.62,0.62,0.0,0.62,0.19,0.35,0.54,0.19,0.54,Matches,Tottenham-Hotspur,
Timo Werner,de GER,"FW,MF",28-240,7.0,2,244.0,2.7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.2,0.9,22.0,15.0,49.0,0.0,0.37,0.37,0.0,0.37,0.28,0.06,0.34,0.28,0.34,Matches,Tottenham-Hotspur,
Wilson Odobert,fr FRA,FW,19-339,3.0,2,162.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.1,0.5,13.0,10.0,18.0,0.0,0.0,0.0,0.0,0.0,0.23,0.03,0.27,0.23,0.27,Matches,Tottenham-Hotspur,
Radu Drăgușin,ro ROU,DF,22-272,2.0,1,100.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches,Tottenham-Hotspur,
Mikey Moore,eng ENG,FW,17-082,4.0,1,85.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches,Tottenham-Hotspur,
Richarlison,br BRA,FW,27-175,4.0,0,64.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.2,1.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.27,0.27,0.27,Matches,Tottenham-Hotspur,
Djed Spence,eng ENG,DF,24-084,3.0,0,64.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Tottenham-Hotspur,
Lucas Bergvall,se SWE,"MF,FW",18-273,5.0,0,51.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.14,0.34,0.48,0.14,0.48,Matches,Tottenham-Hotspur,
Archie Gray,eng ENG,"MF,DF",18-234,4.0,0,37.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Tottenham-Hotspur,
Brandon Austin,eng ENG,GK,25-298,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Tottenham-Hotspur,
Ben Davies,wls WAL,"DF,MF",31-191,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Tottenham-Hotspur,
Alfie Devine,eng ENG,MF,20-092,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Tottenham-Hotspur,
Fraser Forster,eng ENG,GK,36-229,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Tottenham-Hotspur,
Will Lankshear,eng ENG,FW,19-195,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Tottenham-Hotspur,
Squad Total,,,25.7,9.0,99,810.0,9.0,16.0,13.0,29.0,16.0,0.0,0.0,23.0,0.0,17.4,17.4,12.2,29.6,239.0,503.0,500.0,1.78,1.44,3.22,1.78,3.22,1.93,1.36,3.29,1.93,3.29,,Tottenham-Hotspur,
Opponent Total,,,26.7,9.0,99,810.0,9.0,10.0,7.0,17.0,10.0,0.0,0.0,23.0,2.0,9.6,9.6,8.0,17.6,109.0,233.0,230.0,1.11,0.78,1.89,1.11,1.89,1.07,0.89,1.95,1.07,1.95,,Tottenham-Hotspur,
Nathan Collins,ie IRL,DF,23-185,9.0,9,810.0,9.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.8,1.8,0.2,1.9,10.0,35.0,5.0,0.11,0.0,0.11,0.11,0.11,0.2,0.02,0.22,0.2,0.22,Matches,Brentford,
Mark Flekken,nl NED,GK,31-141,9.0,9,810.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Brentford,
Ethan Pinnock,jm JAM,DF,31-156,9.0,9,810.0,9.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.8,0.8,0.5,1.3,1.0,18.0,4.0,0.22,0.0,0.22,0.22,0.22,0.09,0.05,0.14,0.09,0.14,Matches,Brentford,
Bryan Mbeumo,cm CMR,FW,25-086,9.0,9,809.0,9.0,8.0,0.0,8.0,6.0,2.0,2.0,2.0,0.0,3.8,2.2,2.0,4.2,31.0,34.0,84.0,0.89,0.0,0.89,0.67,0.67,0.42,0.22,0.65,0.25,0.47,Matches,Brentford,
Vitaly Janelt,de GER,MF,26-175,9.0,9,723.0,8.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,1.0,1.1,5.0,25.0,10.0,0.0,0.25,0.25,0.0,0.25,0.02,0.12,0.14,0.02,0.14,Matches,Brentford,
Kristoffer Ajer,no NOR,DF,26-198,8.0,8,636.0,7.1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.3,0.3,0.2,0.5,14.0,25.0,12.0,0.0,0.0,0.0,0.0,0.0,0.04,0.03,0.07,0.04,0.07,Matches,Brentford,
Mikkel Damsgaard,dk DEN,"MF,FW",24-121,9.0,7,629.0,7.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,2.7,3.4,19.0,47.0,25.0,0.0,0.43,0.43,0.0,0.43,0.1,0.39,0.49,0.1,0.49,Matches,Brentford,
Keane Lewis-Potter,eng ENG,"FW,DF",23-253,9.0,7,603.0,6.7,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.8,0.8,0.7,1.5,16.0,19.0,36.0,0.0,0.15,0.15,0.0,0.15,0.12,0.11,0.23,0.12,0.23,Matches,Brentford,
Christian Nørgaard,dk DEN,MF,30-236,7.0,7,603.0,6.7,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.2,1.2,0.2,1.4,4.0,22.0,10.0,0.15,0.0,0.15,0.15,0.15,0.18,0.03,0.2,0.18,0.2,Matches,Brentford,
Sepp van den Berg,nl NED,DF,22-317,7.0,6,552.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.1,0.5,3.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,0.06,0.02,0.08,0.06,0.08,Matches,Brentford,
Kevin Schade,de GER,"FW,MF",22-340,9.0,5,461.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.2,0.1,1.3,13.0,4.0,33.0,0.0,0.0,0.0,0.0,0.0,0.23,0.03,0.26,0.23,0.26,Matches,Brentford,
Yoane Wissa,cd COD,FW,28-059,6.0,5,404.0,4.5,5.0,1.0,6.0,5.0,0.0,0.0,1.0,0.0,3.9,3.9,0.3,4.2,7.0,9.0,18.0,1.11,0.22,1.34,1.11,1.34,0.86,0.07,0.93,0.86,0.93,Matches,Brentford,
Mads Roerslev,dk DEN,DF,25-130,8.0,3,358.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.3,6.0,22.0,27.0,0.0,0.25,0.25,0.0,0.25,0.0,0.31,0.31,0.0,0.31,Matches,Brentford,
Mathias Jensen,dk DEN,MF,28-305,4.0,3,251.0,2.8,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.8,0.9,4.0,21.0,11.0,0.0,0.36,0.36,0.0,0.36,0.04,0.27,0.31,0.04,0.31,Matches,Brentford,
Fabio Carvalho,pt POR,"FW,MF",22-063,9.0,2,271.0,3.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.1,1.1,0.5,1.7,5.0,7.0,12.0,0.33,0.33,0.66,0.33,0.66,0.38,0.18,0.56,0.38,0.56,Matches,Brentford,
Yehor Yarmoliuk,ua UKR,MF,20-245,5.0,1,131.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,1.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.06,0.02,0.08,0.06,0.08,Matches,Brentford,
Frank Onyeka,ng NGA,MF,26-305,2.0,0,25.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Brentford,
Yunus Emre Konak,tr TUR,"MF,FW",18-296,3.0,0,19.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.72,0.0,0.72,0.72,0.72,Matches,Brentford,
Ryan Trevitt,eng ENG,MF,21-234,1.0,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Brentford,
Ben Mee,eng ENG,DF,35-041,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Brentford,
Kim Jisoo,kr KOR,DF,19-313,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brentford,
Jayden Meghoma,eng ENG,DF,18-126,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brentford,
Myles Peart-Harris,eng ENG,MF,22-044,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brentford,
Hákon Rafn Valdimarsson,is ISL,GK,23-019,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brentford,
Tony Yogane,eng ENG,MF,19-038,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brentford,
Squad Total,,,26.4,9.0,99,810.0,9.0,18.0,10.0,28.0,16.0,2.0,2.0,14.0,0.0,16.1,14.5,10.5,25.0,139.0,311.0,308.0,2.0,1.11,3.11,1.78,2.89,1.79,1.17,2.96,1.61,2.78,,Brentford,
Opponent Total,,,27.3,9.0,99,810.0,9.0,17.0,15.0,32.0,17.0,0.0,0.0,25.0,1.0,15.4,15.4,12.2,27.6,192.0,393.0,388.0,1.89,1.67,3.56,1.89,3.56,1.71,1.35,3.06,1.71,3.06,,Brentford,
Calvin Bassey,ng NGA,DF,24-306,9.0,9,810.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,0.0,0.2,7.0,24.0,2.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches,Fulham,
Bernd Leno,de GER,GK,32-242,9.0,9,810.0,9.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.11,0.11,0.0,0.11,0.0,0.01,0.01,0.0,0.01,Matches,Fulham,
Antonee Robinson,us USA,DF,27-085,9.0,9,810.0,9.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.6,0.8,20.0,22.0,58.0,0.0,0.22,0.22,0.0,0.22,0.02,0.07,0.08,0.02,0.08,Matches,Fulham,
Kenny Tete,nl NED,DF,29-023,9.0,9,796.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.8,0.8,0.3,1.1,24.0,25.0,23.0,0.0,0.0,0.0,0.0,0.0,0.09,0.04,0.13,0.09,0.13,Matches,Fulham,
Alex Iwobi,ng NGA,FW,28-182,9.0,9,766.0,8.5,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.9,0.9,1.8,2.7,31.0,54.0,64.0,0.23,0.12,0.35,0.23,0.35,0.11,0.22,0.32,0.11,0.32,Matches,Fulham,
Adama Traoré,es ESP,"FW,MF",28-281,9.0,9,690.0,7.7,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,2.6,2.6,2.1,4.7,38.0,26.0,56.0,0.13,0.26,0.39,0.13,0.39,0.34,0.28,0.61,0.34,0.61,Matches,Fulham,
Andreas Pereira,br BRA,MF,28-305,9.0,9,688.0,7.6,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,1.9,1.1,1.6,2.7,4.0,37.0,28.0,0.13,0.0,0.13,0.13,0.13,0.25,0.2,0.45,0.15,0.35,Matches,Fulham,
Emile Smith Rowe,eng ENG,MF,24-096,9.0,8,627.0,7.0,2.0,2.0,4.0,2.0,0.0,0.0,1.0,0.0,1.8,1.8,0.5,2.3,17.0,35.0,38.0,0.29,0.29,0.57,0.29,0.57,0.26,0.07,0.33,0.26,0.33,Matches,Fulham,
Saša Lukić,rs SRB,MF,28-080,7.0,7,547.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.3,0.3,4.0,28.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.05,Matches,Fulham,
Raúl Jiménez,mx MEX,FW,33-180,9.0,6,518.0,5.8,4.0,1.0,5.0,3.0,1.0,1.0,0.0,0.0,3.3,2.6,2.0,4.6,4.0,12.0,21.0,0.69,0.17,0.87,0.52,0.69,0.58,0.35,0.93,0.44,0.8,Matches,Fulham,
Joachim Andersen,dk DEN,DF,28-154,5.0,5,423.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.1,0.2,0.4,3.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.05,0.08,0.03,0.08,Matches,Fulham,
Issa Diop,fr FRA,DF,27-297,7.0,4,393.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.1,0.3,0.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.06,0.02,0.08,0.06,0.08,Matches,Fulham,
Sander Berge,no NOR,MF,26-261,7.0,3,344.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,Matches,Fulham,
Rodrigo Muniz,br BRA,FW,23-181,8.0,3,292.0,3.2,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.4,1.4,0.5,2.0,2.0,8.0,12.0,0.31,0.31,0.62,0.31,0.62,0.43,0.17,0.6,0.43,0.6,Matches,Fulham,
Reiss Nelson,eng ENG,"FW,MF",24-327,6.0,0,124.0,1.4,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.4,0.4,0.5,0.9,14.0,8.0,15.0,0.73,0.73,1.45,0.73,1.45,0.3,0.33,0.63,0.3,0.63,Matches,Fulham,
Tom Cairney,sct SCO,MF,33-286,6.0,0,108.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.4,0.4,4.0,14.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.34,0.0,0.34,Matches,Fulham,
Harry Wilson,wls WAL,"FW,MF",27-224,5.0,0,62.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Fulham,
Harrison Reed,eng ENG,MF,29-279,7.0,0,59.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.1,0.1,1.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.02,0.11,0.14,0.02,0.14,Matches,Fulham,
Timothy Castagne,be BEL,DF,28-332,1.0,0,14.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Fulham,
Jorge Cuenca,es ESP,DF,24-350,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Fulham,
Jay Stansfield,eng ENG,MF,21-343,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Fulham,
Steven Benda,de GER,GK,26-031,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Fulham,
Joshua King,eng ENG,MF,17-303,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Fulham,
Ryan Sessegnon,eng ENG,"DF,FW",24-167,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Fulham,
Squad Total,,,28.2,9.0,99,810.0,9.0,12.0,11.0,23.0,11.0,1.0,2.0,24.0,1.0,13.8,12.2,11.2,23.4,177.0,344.0,341.0,1.33,1.22,2.56,1.22,2.44,1.53,1.24,2.77,1.36,2.6,,Fulham,
Opponent Total,,,27.7,9.0,99,810.0,9.0,11.0,10.0,21.0,11.0,0.0,0.0,19.0,1.0,10.5,10.5,8.5,19.0,148.0,326.0,323.0,1.22,1.11,2.33,1.22,2.33,1.17,0.94,2.11,1.17,2.11,,Fulham,
Illia Zabarnyi,ua UKR,DF,22-061,9.0,9,810.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.1,0.4,4.0,34.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,Matches,Bournemouth,
Lewis Cook,eng ENG,MF,27-272,9.0,9,803.0,8.9,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,0.3,0.3,1.8,2.2,8.0,51.0,13.0,0.11,0.22,0.34,0.11,0.34,0.04,0.2,0.24,0.04,0.24,Matches,Bournemouth,
Antoine Semenyo,gh GHA,FW,24-299,9.0,9,787.0,8.7,3.0,1.0,4.0,3.0,0.0,0.0,4.0,0.0,3.0,3.0,2.0,4.9,29.0,16.0,70.0,0.34,0.11,0.46,0.34,0.46,0.34,0.22,0.56,0.34,0.56,Matches,Bournemouth,
Milos Kerkez,hu HUN,DF,20-360,9.0,9,747.0,8.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.1,0.3,0.4,25.0,42.0,33.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.05,0.01,0.05,Matches,Bournemouth,
Marcus Tavernier,eng ENG,"MF,FW",25-224,9.0,8,690.0,7.7,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,2.5,2.5,1.3,3.8,20.0,45.0,45.0,0.13,0.26,0.39,0.13,0.39,0.33,0.17,0.49,0.33,0.49,Matches,Bournemouth,
Marcos Senesi,ar ARG,DF,27-175,7.0,7,616.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,0.3,0.4,8.0,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.05,0.02,0.05,Matches,Bournemouth,
Ryan Christie,sct SCO,MF,29-253,9.0,7,563.0,6.3,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.4,0.4,0.3,0.7,6.0,36.0,16.0,0.16,0.0,0.16,0.16,0.16,0.06,0.05,0.11,0.06,0.11,Matches,Bournemouth,
Evanilson,br BRA,FW,25-026,8.0,7,541.0,6.0,2.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,2.5,1.8,0.6,2.4,4.0,5.0,16.0,0.33,0.0,0.33,0.33,0.33,0.42,0.1,0.53,0.29,0.4,Matches,Bournemouth,
Justin Kluivert,nl NED,"MF,FW",25-180,9.0,6,474.0,5.3,1.0,2.0,3.0,0.0,1.0,1.0,4.0,0.0,1.6,0.8,0.9,1.7,11.0,17.0,36.0,0.19,0.38,0.57,0.0,0.38,0.3,0.18,0.47,0.15,0.32,Matches,Bournemouth,
